date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/5/2021,ARKF,SQUARE INC - A,SQ,852234103,1835535.0,397283195.4,9.88
3/5/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,911511.0,217896704.55,5.42
3/5/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1380259.0,186555806.44,4.64
3/5/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1443470.0,165955745.9,4.13
3/5/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1850813.0,161483434.25,4.02
3/5/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,128088.0,144868808.88,3.6
3/5/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2077689.0,141573728.46,3.52
3/5/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1318146.0,140567089.44,3.5
3/5/2021,ARKF,SEA LTD-ADR,SE,81141R100,611377.0,140469979.52,3.49
3/5/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,57010.0,125726132.76,3.13
3/5/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,490053.0,114618496.17,2.85
3/5/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,77678.0,114205302.72,2.84
3/5/2021,ARKF,YEAHKA LTD,9923,BL58D39,11406800.0,112249105.88,2.79
3/5/2021,ARKF,SNAP INC - A,SNAP,83304A106,1857270.0,106663016.1,2.65
3/5/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,379016.0,100166348.48,2.49
3/5/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2263982.0,99354682.31,2.47
3/5/2021,ARKF,TWILIO INC - A,TWLO,90138F102,290746.0,98062810.88,2.44
3/5/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,15245445.0,97818429.2,2.43
3/5/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4271097.0,93921423.03,2.34
3/5/2021,ARKF,APPLE INC,AAPL,037833100,664507.0,80684439.94,2.01
3/5/2021,ARKF,DOCUSIGN INC,DOCU,256163106,393910.0,80479752.1,2.0
