date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/11/2021,ARKF,SQUARE INC - A,SQ,852234103,1776443.0,429401801.96,10.4
3/11/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,882165.0,223919941.95,5.42
3/11/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1335815.0,210070266.9,5.09
3/11/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1275702.0,177705288.6,4.3
3/11/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1396978.0,160931865.6,3.9
3/11/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1791221.0,159920210.88,3.87
3/11/2021,ARKF,SEA LTD-ADR,SE,81141R100,645039.0,152738784.81,3.7
3/11/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2010811.0,144537094.68,3.5
3/11/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,123940.0,141569225.6,3.43
3/11/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,55160.0,131111310.94,3.18
3/11/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,75178.0,118088098.84,2.86
3/11/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,474277.0,114205901.6,2.77
3/11/2021,ARKF,YEAHKA LTD,9923,BL58D39,11142800.0,112524521.66,2.73
3/11/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4133545.0,108794904.4,2.64
3/11/2021,ARKF,SNAP INC - A,SNAP,83304A106,1797478.0,107165638.36,2.6
3/11/2021,ARKF,TWILIO INC - A,TWLO,90138F102,281396.0,105312453.0,2.55
3/11/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,15313545.0,98489543.35,2.39
3/11/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2193982.0,97445586.18,2.36
3/11/2021,ARKF,DOCUSIGN INC,DOCU,256163106,381212.0,85856566.64,2.08
3/11/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,293890.0,80490593.2,1.95
3/11/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,311543.0,80150667.61,1.94
3/11/2021,ARKF,APPLE INC,AAPL,037833100,643101.0,78432597.96,1.9
3/11/2021,ARKF,Z HOLDINGS CORP,4689,6084848,13740530.0,76428490.9,1.85
3/11/2021,ARKF,INTUIT INC,INTU,461202103,190344.0,75979614.48,1.84
3/11/2021,ARKF,AMAZON.COM INC,AMZN,023135106,23475.0,73091525.25,1.77
3/11/2021,ARKF,JD.COM INC-ADR,JD,47215P106,773987.0,69666569.87,1.69
3/11/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1282105.0,68849038.5,1.67
3/11/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,269822.0,53632518.94,1.3
3/11/2021,ARKF,DISCOVERY LTD,DSY,6177878,5218860.0,49889151.19,1.21
3/11/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,3839600.0,48696182.97,1.18
3/11/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,808320.0,48062707.2,1.16
3/11/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,678539.0,45061774.99,1.09
3/11/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,612668.0,43873155.48,1.06
3/11/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,520853.0,43621438.75,1.06
3/11/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,389717.0,41282721.81,1.0
3/11/2021,ARKF,NVIDIA CORP,NVDA,67066G104,75450.0,39214383.0,0.95
3/11/2021,ARKF,BASE INC,4477,BKRQ8Q2,433900.0,38610678.22,0.94
3/11/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,233410.0,37905784.0,0.92
3/11/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,154879.0,38128112.22,0.92
3/11/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,208835.0,25181324.3,0.61
3/11/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,1916620.0,24494403.6,0.59
3/11/2021,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,132955.0,20649241.05,0.5
3/11/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,31608.0,16556902.56,0.4
3/11/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,134905.0,9443350.0,0.23
3/11/2021,ARKF,SPLUNK INC,SPLK,848637104,22410.0,3096837.9,0.08
3/11/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,17499.0,3031001.79,0.07
3/11/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,8824.0,568117.65,0.01
3/11/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3514925.0,698661642.25,7.07
3/11/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,14598852.0,518259246.0,5.24
3/11/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3656086.0,480884991.58,4.87
3/11/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3096657.0,450068128.38,4.55
3/11/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,932838.0,438396546.48,4.44
3/11/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1808938.0,389193010.7,3.94
3/11/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4519488.0,382981413.12,3.87
3/11/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3748280.0,366057024.8,3.7
3/11/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,19407186.0,359615156.58,3.64
3/11/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,8616347.0,359129342.96,3.63
3/11/2021,ARKG,CAREDX INC,CDNA,14167L103,4429889.0,307212802.15,3.11
3/11/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7602528.0,270345895.68,2.74
3/11/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1993800.0,266929944.0,2.7
3/11/2021,ARKG,ACCOLADE INC,ACCD,00437E102,5061833.0,238108624.32,2.41
3/11/2021,ARKG,INCYTE CORP,INCY,45337C102,2968356.0,235924934.88,2.39
3/11/2021,ARKG,INVITAE CORP,NVTA,46185L103,5340917.0,229232157.64,2.32
3/11/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,832906.0,217613350.62,2.2
3/11/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3793070.0,202549938.0,2.05
3/11/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2357962.0,192763393.5,1.95
3/11/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1154830.0,190119662.9,1.92
3/11/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2579575.0,175617466.0,1.78
3/11/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3400755.0,172996406.85,1.75
3/11/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,7527197.0,171168459.78,1.73
3/11/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1779132.0,168412635.12,1.7
3/11/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1847706.0,161064532.02,1.63
3/11/2021,ARKG,PERSONALIS INC,PSNL,71535D106,5824440.0,159414922.8,1.61
3/11/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,2754192.0,152719946.4,1.55
3/11/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2218186.0,133867525.1,1.35
3/11/2021,ARKG,CODEXIS INC,CDXS,192005106,6006507.0,129680486.13,1.31
3/11/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1882857.0,124212076.29,1.26
3/11/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2746236.0,119021868.24,1.2
3/11/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5216333.0,111212219.56,1.13
3/11/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,238062.0,109632312.24,1.11
3/11/2021,ARKG,PHREESIA INC,PHR,71944F106,1700597.0,105045876.69,1.06
3/11/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,698414.0,101228125.16,1.02
3/11/2021,ARKG,VERACYTE INC,VCYT,92337F107,1762243.0,93680837.88,0.95
3/11/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1317254.0,88137465.14,0.89
3/11/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,4045190.0,80377925.3,0.81
3/11/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1565880.0,74097441.6,0.75
3/11/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,4202584.0,72410522.32,0.73
3/11/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3070303.0,69695878.1,0.71
3/11/2021,ARKG,ABBVIE INC,ABBV,00287Y109,549518.0,59276506.66,0.6
3/11/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,7448539.0,52437714.56,0.53
3/11/2021,ARKG,908 DEVICES INC,MASS,65443P102,963153.0,51403475.61,0.52
3/11/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,1090884.0,47671630.8,0.48
3/11/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,4944056.0,45584196.32,0.46
3/11/2021,ARKG,CERUS CORP,CERS,157085101,7046657.0,45944203.64,0.46
3/11/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,1551984.0,45768008.16,0.46
3/11/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,1342109.0,37820631.62,0.38
3/11/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,3863645.0,34772805.0,0.35
3/11/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,2730161.0,25390497.3,0.26
3/11/2021,ARKG,SEER INC,SEER,81578P106,457329.0,22294788.75,0.23
3/11/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,3960681.0,21942172.74,0.22
3/11/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,3138492.0,17324475.84,0.18
3/11/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,323356.0,3844702.84,0.04
3/11/2021,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,810.0,1701437.4,0.02
3/11/2021,ARKK,TESLA INC,TSLA,88160R101,3755015.0,2627008494.0,10.68
3/11/2021,ARKK,SQUARE INC - A,SQ,852234103,6524134.0,1577013670.48,6.41
3/11/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,7020815.0,1395527397.55,5.67
3/11/2021,ARKK,ROKU INC,ROKU,77543R102,3792112.0,1377825974.08,5.6
3/11/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5667218.0,891226702.68,3.62
3/11/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,3107983.0,846552409.54,3.44
3/11/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2715763.0,779315350.48,3.17
3/11/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5648792.0,756260272.96,3.07
3/11/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,644367.0,736021762.08,2.99
3/11/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2037094.0,723514675.98,2.94
3/11/2021,ARKK,INVITAE CORP,NVTA,46185L103,16243844.0,697185784.48,2.83
3/11/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4830634.0,635373290.02,2.58
3/11/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1450909.0,543002693.25,2.21
3/11/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,5082093.0,541751113.8,2.2
3/11/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2202513.0,496049977.86,2.02
3/11/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,19839002.0,451138905.48,1.83
3/11/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2936348.0,426768818.32,1.73
3/11/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11682538.0,415431051.28,1.69
3/11/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6008215.0,396361943.55,1.61
3/11/2021,ARKK,PROTO LABS INC,PRLB,743713109,2893478.0,392355616.8,1.59
3/11/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,4266357.0,380900352.96,1.55
3/11/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,6288214.0,373897204.44,1.52
3/11/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2042644.0,336280481.72,1.37
3/11/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4800790.0,333126818.1,1.35
